Site,Date,Analyte,Result
HAT,2019-02-20,"Temperature, Water",19.6
HAT,2019-02-20,Turbidity,1.68
HAT,2019-03-22,Dissolved Oxygen,8.61
HAT,2019-03-22,Dissolved Oxygen Saturation,85.2
HAT,2019-03-22,pH,6.89
HAT,2019-03-22,Specific Conductance,82.5
HAT,2019-03-22,"Temperature, Water",14.8
HAT,2019-03-22,Turbidity,2.65
HAT,2019-04-03,Dissolved Oxygen,8.54
HAT,2019-04-03,Dissolved Oxygen Saturation,87
HAT,2019-04-03,pH,7.15
HAT,2019-04-03,Specific Conductance,87.7
HAT,2019-04-03,"Temperature, Water",16.2
HAT,2019-04-03,Turbidity,1.6
HAT,2019-04-24,Dissolved Oxygen,7.39
HAT,2019-04-24,Dissolved Oxygen Saturation,79.3
HAT,2019-04-24,pH,6.98
HAT,2019-04-24,Specific Conductance,100.4
HAT,2019-04-24,"Temperature, Water",17.7
HAT,2019-04-24,Turbidity,1.42
HAT,2019-05-07,Dissolved Oxygen,6.99
HAT,2019-05-07,Dissolved Oxygen Saturation,81
HAT,2019-05-07,pH,7.16
HAT,2019-05-07,Specific Conductance,105.1
HAT,2019-05-07,"Temperature, Water",22.7
HAT,2019-05-07,Turbidity,2.18
HAT,2019-05-24,Dissolved Oxygen,2.8
HAT,2019-05-24,Dissolved Oxygen Saturation,34.5
HAT,2019-05-24,pH,6.65
HAT,2019-05-24,Specific Conductance,123.5
HAT,2019-05-24,"Temperature, Water",23.2
HAT,2019-05-24,Turbidity,2.03
HAT,2019-06-06,Dissolved Oxygen,2.86
HAT,2019-06-06,Dissolved Oxygen Saturation,36.7
HAT,2019-06-06,pH,6.62
HAT,2019-06-06,Specific Conductance,115.4
HAT,2019-06-06,"Temperature, Water",25.8
HAT,2019-06-06,Turbidity,4.31
HAT,2019-06-18,Dissolved Oxygen,6.23
HAT,2019-06-18,Dissolved Oxygen Saturation,75.4
HAT,2019-06-18,pH,6.78
HAT,2019-06-18,Specific Conductance,122
HAT,2019-06-18,"Temperature, Water",24.8
HAT,2019-06-18,Turbidity,1.28
HAT,2019-07-09,Dissolved Oxygen,6.43
HAT,2019-07-09,Dissolved Oxygen Saturation,79
HAT,2019-07-09,pH,6.04
HAT,2019-07-09,Specific Conductance,79.2
HAT,2019-07-09,"Temperature, Water",25.8
HAT,2019-07-09,Turbidity,1.61
HAT,2019-07-29,Dissolved Oxygen,6.19
HAT,2019-07-29,Dissolved Oxygen Saturation,73.9
HAT,2019-07-29,pH,5.18
HAT,2019-07-29,Specific Conductance,69.4
HAT,2019-07-29,"Temperature, Water",24.2
HAT,2019-07-29,Turbidity,1.54
HAT,2019-08-14,Dissolved Oxygen,5.46
HAT,2019-08-14,Dissolved Oxygen Saturation,67.5
HAT,2019-08-14,pH,4.94
HAT,2019-08-14,Specific Conductance,58.2
HAT,2019-08-14,"Temperature, Water",26.2
HAT,2019-08-14,Turbidity,1.66
HAT,2019-08-28,Dissolved Oxygen,5.56
HAT,2019-08-28,Dissolved Oxygen Saturation,67.2
HAT,2019-08-28,pH,4.98
HAT,2019-08-28,Specific Conductance,49.1
HAT,2019-08-28,"Temperature, Water",24.9
HAT,2019-08-28,Turbidity,1.95
HAT,2019-09-11,Dissolved Oxygen,6.13
HAT,2019-09-11,Dissolved Oxygen Saturation,74.5
HAT,2019-09-11,pH,5.37
HAT,2019-09-11,Specific Conductance,57
HAT,2019-09-11,"Temperature, Water",25.3
HAT,2019-09-11,Turbidity,1.8
HAT,2019-09-25,Dissolved Oxygen,6.28
HAT,2019-09-25,Dissolved Oxygen Saturation,72.9
HAT,2019-09-25,pH,6.69
HAT,2019-09-25,Specific Conductance,74.5
HAT,2019-09-25,"Temperature, Water",22.7
HAT,2019-09-25,Turbidity,1.78
HAT,2019-10-09,Dissolved Oxygen,6.96
HAT,2019-10-09,Dissolved Oxygen Saturation,81.3
HAT,2019-10-09,pH,6.49
HAT,2019-10-09,Specific Conductance,89.7
HAT,2019-10-09,"Temperature, Water",23.1
HAT,2019-10-09,Turbidity,2.25
HAT,2019-10-23,Dissolved Oxygen,7.47
HAT,2019-10-23,Dissolved Oxygen Saturation,83.8
HAT,2019-10-23,pH,7.16
HAT,2019-10-23,Specific Conductance,86.3
HAT,2019-10-23,"Temperature, Water",21
HAT,2019-10-23,Turbidity,1.94
HAT,2019-11-06,Dissolved Oxygen,6.57
HAT,2019-11-06,Dissolved Oxygen Saturation,73.4
HAT,2019-11-06,pH,7.3
HAT,2019-11-06,Specific Conductance,134.8
HAT,2019-11-06,"Temperature, Water",20.7
HAT,2019-11-06,Turbidity,4.73
HAT,2019-11-20,Dissolved Oxygen,9.74
HAT,2019-11-20,Dissolved Oxygen Saturation,90.9
HAT,2019-11-20,pH,7.56
HAT,2019-11-20,Specific Conductance,111.6
HAT,2019-11-20,"Temperature, Water",12.2
HAT,2019-11-20,Turbidity,1.42
HAT,2019-12-17,Dissolved Oxygen,7.61
HAT,2019-12-17,Dissolved Oxygen Saturation,78.8
HAT,2019-12-17,pH,6.94
HAT,2019-12-17,Specific Conductance,118.4
HAT,2019-12-17,"Temperature, Water",17
HAT,2019-12-17,Turbidity,1.54
HAT,2020-01-10,Dissolved Oxygen,9.28
HAT,2020-01-10,Dissolved Oxygen Saturation,89.9
HAT,2020-01-10,pH,7.51
HAT,2020-01-10,Specific Conductance,91.8
HAT,2020-01-10,"Temperature, Water",13.9
HAT,2020-01-10,Turbidity,0.69
HAT,2020-02-12,Dissolved Oxygen,7.68
HAT,2020-02-12,Dissolved Oxygen Saturation,83.1
HAT,2020-02-12,pH,6.89
HAT,2020-02-12,Specific Conductance,106.7
HAT,2020-02-12,"Temperature, Water",19.2
HAT,2020-02-12,Turbidity,2.77
HAT,2020-02-28,Dissolved Oxygen,8.89
HAT,2020-02-28,Dissolved Oxygen Saturation,82.7
HAT,2020-02-28,pH,6.78
HAT,2020-02-28,Specific Conductance,108.1
HAT,2020-02-28,"Temperature, Water",12.1
HAT,2020-02-28,Turbidity,1.97
HAT,2020-03-12,Dissolved Oxygen,7.61
HAT,2020-03-12,Dissolved Oxygen Saturation,82.3
HAT,2020-03-12,pH,6.8
HAT,2020-03-12,Specific Conductance,118.9
HAT,2020-03-12,"Temperature, Water",19.2
HAT,2020-03-12,Turbidity,1.32
HAT,2020-05-12,Dissolved Oxygen,7.76
HAT,2020-05-12,Dissolved Oxygen Saturation,83.7
HAT,2020-05-12,pH,7.28
HAT,2020-05-12,Specific Conductance,163.5
HAT,2020-05-12,"Temperature, Water",19
HAT,2020-05-12,Turbidity,1.4
HAT,2020-06-26,Dissolved Oxygen,6.1
HAT,2020-06-26,Dissolved Oxygen Saturation,74.2
HAT,2020-06-26,pH,5.63
HAT,2020-06-26,Specific Conductance,65.7
HAT,2020-06-26,"Temperature, Water",25.2
HAT,2020-06-26,Turbidity,
HAT,2020-07-16,Dissolved Oxygen,6.45
HAT,2020-07-16,Dissolved Oxygen Saturation,76.8
HAT,2020-07-16,pH,6.56
HAT,2020-07-16,Specific Conductance,74.7
HAT,2020-07-16,"Temperature, Water",24.1
HAT,2020-07-16,Turbidity,5.1
HAT,2020-07-28,Dissolved Oxygen,6.35
HAT,2020-07-28,Dissolved Oxygen Saturation,76.2
HAT,2020-07-28,pH,6.81
HAT,2020-07-28,Specific Conductance,100.8
HAT,2020-07-28,"Temperature, Water",24.5
HAT,2020-07-28,Turbidity,2.02
HAT,2020-08-14,Dissolved Oxygen,6.88
HAT,2020-08-14,Dissolved Oxygen Saturation,81.4
HAT,2020-08-14,pH,7.38
HAT,2020-08-14,Specific Conductance,83
HAT,2020-08-14,"Temperature, Water",23.7
HAT,2020-08-14,Turbidity,1.34
HAT,2020-08-24,Dissolved Oxygen,6.25
HAT,2020-08-24,Dissolved Oxygen Saturation,75.4
HAT,2020-08-24,pH,5.8
HAT,2020-08-24,Specific Conductance,69.3
HAT,2020-08-24,"Temperature, Water",24.5
HAT,2020-08-24,Turbidity,2.14
HAT,2020-09-10,Dissolved Oxygen,7.05
HAT,2020-09-10,Dissolved Oxygen Saturation,80.9
HAT,2020-09-10,pH,6.32
HAT,2020-09-10,Specific Conductance,68.8
HAT,2020-09-10,"Temperature, Water",21.8
HAT,2020-09-10,Turbidity,2.59
HAT,2020-09-24,Dissolved Oxygen,7.13
HAT,2020-09-24,Dissolved Oxygen Saturation,75.2
HAT,2020-09-24,pH,5.54
HAT,2020-09-24,Specific Conductance,67.5
HAT,2020-09-24,"Temperature, Water",17.8
HAT,2020-09-24,Turbidity,1.82
HAT,2020-10-08,Dissolved Oxygen,7.59
HAT,2020-10-08,Dissolved Oxygen Saturation,81.3
HAT,2020-10-08,pH,7.04
HAT,2020-10-08,Specific Conductance,78.8
HAT,2020-10-08,"Temperature, Water",18.3
HAT,2020-10-08,Turbidity,1.67
HAT,2020-10-22,Dissolved Oxygen,7.63
HAT,2020-10-22,Dissolved Oxygen Saturation,79.3
HAT,2020-10-22,pH,7.31
HAT,2020-10-22,Specific Conductance,80.2
HAT,2020-10-22,"Temperature, Water",17.2
HAT,2020-10-22,Turbidity,1.68
HOGDN,2018-10-18,Dissolved Oxygen,4
HOGDN,2018-10-18,Dissolved Oxygen Saturation,48.9
HOGDN,2018-10-18,pH,7.38
HOGDN,2018-10-18,Specific Conductance,291.9
HOGDN,2018-10-18,"Temperature, Water",25.61
HOGDN,2018-10-31,Dissolved Oxygen,7.22
HOGDN,2018-10-31,Dissolved Oxygen Saturation,74.3
HOGDN,2018-10-31,pH,7.46
HOGDN,2018-10-31,Specific Conductance,290.7
HOGDN,2018-10-31,"Temperature, Water",16.9
HOGDN,2018-10-31,Turbidity,4
HOGDN,2018-11-08,Dissolved Oxygen,6.25
HOGDN,2018-11-08,Dissolved Oxygen Saturation,74.2
HOGDN,2018-11-08,pH,7.43
HOGDN,2018-11-08,Specific Conductance,293.3
HOGDN,2018-11-08,"Temperature, Water",23.8
HOGDN,2018-11-08,Turbidity,2.05
HOGDN,2018-11-13,Dissolved Oxygen,5.67
HOGDN,2018-11-13,Dissolved Oxygen Saturation,65.3
HOGDN,2018-11-13,pH,7.3
HOGDN,2018-11-13,Specific Conductance,271
HOGDN,2018-11-13,"Temperature, Water",22.3
HOGDN,2018-11-13,Turbidity,1.75
HOGDN,2018-11-29,Dissolved Oxygen,9.55
HOGDN,2018-11-29,Dissolved Oxygen Saturation,83.5
HOGDN,2018-11-29,pH,7.01
HOGDN,2018-11-29,Specific Conductance,258.3
HOGDN,2018-11-29,"Temperature, Water",9.4
HOGDN,2018-11-29,Turbidity,1.84
HOGDN,2018-12-05,Dissolved Oxygen,6.85
HOGDN,2018-12-05,Dissolved Oxygen Saturation,64.8
HOGDN,2018-12-05,pH,7.12
HOGDN,2018-12-05,Specific Conductance,214
HOGDN,2018-12-05,"Temperature, Water",12.7
HOGDN,2018-12-05,Turbidity,1.71
HOGDN,2018-12-20,Dissolved Oxygen,6.63
HOGDN,2018-12-20,Dissolved Oxygen Saturation,66.8
HOGDN,2018-12-20,pH,7.37
HOGDN,2018-12-20,Specific Conductance,170.8
HOGDN,2018-12-20,"Temperature, Water",15.7
HOGDN,2018-12-20,Turbidity,2.73
HOGDN,2019-01-04,Dissolved Oxygen,4.05
HOGDN,2019-01-04,Dissolved Oxygen Saturation,44.6
HOGDN,2019-01-04,pH,6.75
HOGDN,2019-01-04,Specific Conductance,235.6
HOGDN,2019-01-04,"Temperature, Water",20.1
HOGDN,2019-01-04,Turbidity,1.18
HOGDN,2019-01-18,Dissolved Oxygen,8.23
HOGDN,2019-01-18,Dissolved Oxygen Saturation,75.1
HOGDN,2019-01-18,pH,6.93
HOGDN,2019-01-18,Specific Conductance,254
HOGDN,2019-01-18,"Temperature, Water",11.2
HOGDN,2019-01-18,Turbidity,1.15
HOGDN,2019-01-25,Dissolved Oxygen,6.6
HOGDN,2019-01-25,Dissolved Oxygen Saturation,62
HOGDN,2019-01-25,pH,6.9
HOGDN,2019-01-25,Specific Conductance,137.9
HOGDN,2019-01-25,"Temperature, Water",12.5
HOGDN,2019-01-25,Turbidity,5.03
HOGDN,2019-02-06,Dissolved Oxygen,4.82
HOGDN,2019-02-06,Dissolved Oxygen Saturation,49.7
HOGDN,2019-02-06,pH,6.9
HOGDN,2019-02-06,Specific Conductance,227.3
HOGDN,2019-02-06,"Temperature, Water",16.7
HOGDN,2019-02-06,Turbidity,1.52
HOGDN,2019-02-20,Dissolved Oxygen,7.74
HOGDN,2019-02-20,Dissolved Oxygen Saturation,85.1
HOGDN,2019-02-20,pH,7.28
HOGDN,2019-02-20,Specific Conductance,259.5
HOGDN,2019-02-20,"Temperature, Water",19.9
HOGDN,2019-02-20,Turbidity,1.26
HOGDN,2019-03-22,Dissolved Oxygen,8.7
HOGDN,2019-03-22,Dissolved Oxygen Saturation,83.2
HOGDN,2019-03-22,pH,7.08
HOGDN,2019-03-22,Specific Conductance,283.5
HOGDN,2019-03-22,"Temperature, Water",13.2
HOGDN,2019-03-22,Turbidity,1.32
HOGDN,2019-04-03,Dissolved Oxygen,7.5
HOGDN,2019-04-03,Dissolved Oxygen Saturation,78.5
HOGDN,2019-04-03,pH,7.14
HOGDN,2019-04-03,Specific Conductance,242.5
HOGDN,2019-04-03,"Temperature, Water",17.5
HOGDN,2019-04-03,Turbidity,2.27
HOGDN,2019-04-24,Dissolved Oxygen,7.04
HOGDN,2019-04-24,Dissolved Oxygen Saturation,74.9
HOGDN,2019-04-24,pH,7.25
HOGDN,2019-04-24,Specific Conductance,266.5
HOGDN,2019-04-24,"Temperature, Water",18.3
HOGDN,2019-04-24,Turbidity,5.99
HOGDN,2019-05-07,Dissolved Oxygen,5.66
HOGDN,2019-05-07,Dissolved Oxygen Saturation,66.1
HOGDN,2019-05-07,pH,7.18
HOGDN,2019-05-07,Specific Conductance,231.1
HOGDN,2019-05-07,"Temperature, Water",22.9
HOGDN,2019-05-07,Turbidity,2.7
HOGDN,2019-05-24,Dissolved Oxygen,6.14
HOGDN,2019-05-24,Dissolved Oxygen Saturation,72.4
HOGDN,2019-05-24,pH,7.33
HOGDN,2019-05-24,Specific Conductance,305.3
HOGDN,2019-05-24,"Temperature, Water",23.6
HOGDN,2019-05-24,Turbidity,6.52
HOGDN,2019-06-06,Dissolved Oxygen,4.59
HOGDN,2019-06-06,Dissolved Oxygen Saturation,55.7
HOGDN,2019-06-06,pH,6.97
HOGDN,2019-06-06,Specific Conductance,223.5
HOGDN,2019-06-06,"Temperature, Water",25
HOGDN,2019-06-06,Turbidity,4.26
HOGDN,2019-06-18,Dissolved Oxygen,4.38
HOGDN,2019-06-18,Dissolved Oxygen Saturation,52.4
HOGDN,2019-06-18,pH,6.77
HOGDN,2019-06-18,Specific Conductance,155.3
HOGDN,2019-06-18,"Temperature, Water",24.3
HOGDN,2019-06-18,Turbidity,5.3
HOGDN,2019-07-09,Dissolved Oxygen,5.14
HOGDN,2019-07-09,Dissolved Oxygen Saturation,64.7
HOGDN,2019-07-09,pH,7.14
HOGDN,2019-07-09,Specific Conductance,240.8
HOGDN,2019-07-09,"Temperature, Water",27.1
HOGDN,2019-07-09,Turbidity,2.38
HOGDN,2019-07-29,Dissolved Oxygen,4.7
HOGDN,2019-07-29,Dissolved Oxygen Saturation,56
HOGDN,2019-07-29,pH,6.92
HOGDN,2019-07-29,Specific Conductance,198.5
HOGDN,2019-07-29,"Temperature, Water",24.1
HOGDN,2019-07-29,Turbidity,2.38
HOGDN,2019-08-14,Dissolved Oxygen,4.44
HOGDN,2019-08-14,Dissolved Oxygen Saturation,56.2
HOGDN,2019-08-14,pH,6.84
HOGDN,2019-08-14,Specific Conductance,184.8
HOGDN,2019-08-14,"Temperature, Water",27.4
HOGDN,2019-08-14,Turbidity,2.16
HOGDN,2019-08-28,Dissolved Oxygen,3.01
HOGDN,2019-08-28,Dissolved Oxygen Saturation,36.8
HOGDN,2019-08-28,pH,6.8
HOGDN,2019-08-28,Specific Conductance,144
HOGDN,2019-08-28,"Temperature, Water",25.5
HOGDN,2019-08-28,Turbidity,6.13
HOGDN,2019-09-11,Dissolved Oxygen,1.78
HOGDN,2019-09-11,Dissolved Oxygen Saturation,21.9
HOGDN,2019-09-11,pH,7.01
HOGDN,2019-09-11,Specific Conductance,249.4
HOGDN,2019-09-11,"Temperature, Water",25.6
HOGDN,2019-09-11,Turbidity,1.83
HOGDN,2019-09-25,Dissolved Oxygen,6.14
HOGDN,2019-09-25,Dissolved Oxygen Saturation,72.2
HOGDN,2019-09-25,pH,7.42
HOGDN,2019-09-25,Specific Conductance,286.4
HOGDN,2019-09-25,"Temperature, Water",23.4
HOGDN,2019-09-25,Turbidity,2.78
HOGDN,2019-10-09,Dissolved Oxygen,4.38
HOGDN,2019-10-09,Dissolved Oxygen Saturation,51.4
HOGDN,2019-10-09,pH,6.88
HOGDN,2019-10-09,Specific Conductance,207
HOGDN,2019-10-09,"Temperature, Water",23.4
HOGDN,2019-10-09,Turbidity,1.89
HOGDN,2019-10-23,Dissolved Oxygen,5.79
HOGDN,2019-10-23,Dissolved Oxygen Saturation,63.4
HOGDN,2019-10-23,pH,7.06
HOGDN,2019-10-23,Specific Conductance,216.5
HOGDN,2019-10-23,"Temperature, Water",19.6
HOGDN,2019-10-23,Turbidity,2.84
HOGDN,2019-11-06,Dissolved Oxygen,6.92
HOGDN,2019-11-06,Dissolved Oxygen Saturation,78.7
HOGDN,2019-11-06,pH,7.36
HOGDN,2019-11-06,Specific Conductance,297.3
HOGDN,2019-11-06,"Temperature, Water",21.6
HOGDN,2019-11-06,Turbidity,4.28
HOGDN,2019-11-20,Dissolved Oxygen,9.33
HOGDN,2019-11-20,Dissolved Oxygen Saturation,88.4
HOGDN,2019-11-20,pH,7.51
HOGDN,2019-11-20,Specific Conductance,260.2
HOGDN,2019-11-20,"Temperature, Water",12.9
HOGDN,2019-11-20,Turbidity,2.9
HOGDN,2019-12-17,Dissolved Oxygen,4.83
HOGDN,2019-12-17,Dissolved Oxygen Saturation,52.2
HOGDN,2019-12-17,pH,6.76
HOGDN,2019-12-17,Specific Conductance,221.4
HOGDN,2019-12-17,"Temperature, Water",19.1
HOGDN,2019-12-17,Turbidity,1.86
HOGDN,2020-01-10,Dissolved Oxygen,7.33
HOGDN,2020-01-10,Dissolved Oxygen Saturation,76.8
HOGDN,2020-01-10,pH,7.17
HOGDN,2020-01-10,Specific Conductance,255
HOGDN,2020-01-10,"Temperature, Water",17.5
HOGDN,2020-01-10,Turbidity,2.36
HOGDN,2020-02-12,Dissolved Oxygen,6.9
HOGDN,2020-02-12,Dissolved Oxygen Saturation,77.3
HOGDN,2020-02-12,pH,7.4
HOGDN,2020-02-12,Specific Conductance,262.6
HOGDN,2020-02-12,"Temperature, Water",20.9
HOGDN,2020-02-12,Turbidity,3.56
HOGDN,2020-02-28,Dissolved Oxygen,8.17
HOGDN,2020-02-28,Dissolved Oxygen Saturation,72.7
HOGDN,2020-02-28,pH,7.16
HOGDN,2020-02-28,Specific Conductance,199
HOGDN,2020-02-28,"Temperature, Water",10.1
HOGDN,2020-02-28,Turbidity,2.34
HOGDN,2020-03-12,Dissolved Oxygen,8.05
HOGDN,2020-03-12,Dissolved Oxygen Saturation,85.2
HOGDN,2020-03-12,pH,7.46
HOGDN,2020-03-12,Specific Conductance,284
HOGDN,2020-03-12,"Temperature, Water",18
HOGDN,2020-03-12,Turbidity,3.65
HOGDN,2020-05-12,Dissolved Oxygen,7.22
HOGDN,2020-05-12,Dissolved Oxygen Saturation,75.7
HOGDN,2020-05-12,pH,7.18
HOGDN,2020-05-12,Specific Conductance,226.8
HOGDN,2020-05-12,"Temperature, Water",17.6
HOGDN,2020-05-12,Turbidity,7.01
HOGDN,2020-06-26,Dissolved Oxygen,5.85
HOGDN,2020-06-26,Dissolved Oxygen Saturation,71.4
HOGDN,2020-06-26,pH,7.39
HOGDN,2020-06-26,Specific Conductance,257.4
HOGDN,2020-06-26,"Temperature, Water",25.5
HOGDN,2020-06-26,Turbidity,
HOGDN,2020-07-16,Dissolved Oxygen,4.84
HOGDN,2020-07-16,Dissolved Oxygen Saturation,58.4
HOGDN,2020-07-16,pH,6.87
HOGDN,2020-07-16,Specific Conductance,106.2
HOGDN,2020-07-16,"Temperature, Water",24.8
HOGDN,2020-07-16,Turbidity,13.44
HOGDN,2020-07-28,Dissolved Oxygen,6.8
HOGDN,2020-07-28,Dissolved Oxygen Saturation,81.7
HOGDN,2020-07-28,pH,7.58
HOGDN,2020-07-28,Specific Conductance,230.1
HOGDN,2020-07-28,"Temperature, Water",24.6
HOGDN,2020-07-28,Turbidity,20.75
HOGDN,2020-08-14,Dissolved Oxygen,6.82
HOGDN,2020-08-14,Dissolved Oxygen Saturation,84.6
HOGDN,2020-08-14,pH,7.69
HOGDN,2020-08-14,Specific Conductance,263.3
HOGDN,2020-08-14,"Temperature, Water",25.1
HOGDN,2020-08-14,Turbidity,1.95
HOGDN,2020-08-24,Dissolved Oxygen,4.57
HOGDN,2020-08-24,Dissolved Oxygen Saturation,54.5
HOGDN,2020-08-24,pH,7.18
HOGDN,2020-08-24,Specific Conductance,177.3
HOGDN,2020-08-24,"Temperature, Water",24
HOGDN,2020-08-24,Turbidity,2.23
HOGDN,2020-09-10,Dissolved Oxygen,5.44
HOGDN,2020-09-10,Dissolved Oxygen Saturation,63.9
HOGDN,2020-09-10,pH,7.1
HOGDN,2020-09-10,Specific Conductance,108
HOGDN,2020-09-10,"Temperature, Water",22.4
HOGDN,2020-09-10,Turbidity,14.17
HOGDN,2020-09-24,Dissolved Oxygen,5.66
HOGDN,2020-09-24,Dissolved Oxygen Saturation,60.4
HOGDN,2020-09-24,pH,7.37
HOGDN,2020-09-24,Specific Conductance,230.5
HOGDN,2020-09-24,"Temperature, Water",18.3
HOGDN,2020-09-24,Turbidity,3.72
HOGDN,2020-10-08,Dissolved Oxygen,5.5
HOGDN,2020-10-08,Dissolved Oxygen Saturation,59.4
HOGDN,2020-10-08,pH,7.4
HOGDN,2020-10-08,Specific Conductance,244.3
HOGDN,2020-10-08,"Temperature, Water",19.1
HOGDN,2020-10-08,Turbidity,4.52
HOGDN,2020-10-22,Dissolved Oxygen,5.23
HOGDN,2020-10-22,Dissolved Oxygen Saturation,54.9
HOGDN,2020-10-22,pH,7.4
HOGDN,2020-10-22,Specific Conductance,222.8
HOGDN,2020-10-22,"Temperature, Water",17.7
HOGDN,2020-10-22,Turbidity,8.58
HOGNW16,2018-09-14,Dissolved Oxygen,7.46
HOGNW16,2018-09-14,Dissolved Oxygen Saturation,92.3
HOGNW16,2018-09-14,pH,7.94
HOGNW16,2018-09-14,"Temperature, Water",26.2
HOGNW16,2018-09-14,Turbidity,1
HOGNW16,2018-10-18,Dissolved Oxygen,7.59
HOGNW16,2018-10-18,Dissolved Oxygen Saturation,91
HOGNW16,2018-10-18,pH,7.95
HOGNW16,2018-10-18,Specific Conductance,290.2
HOGNW16,2018-10-18,"Temperature, Water",24.58
HOGNW16,2018-10-31,Dissolved Oxygen,8.69
HOGNW16,2018-10-31,Dissolved Oxygen Saturation,91.3
HOGNW16,2018-10-31,pH,7.84
HOGNW16,2018-10-31,Specific Conductance,287
HOGNW16,2018-10-31,"Temperature, Water",17.8
HOGNW16,2018-10-31,Turbidity,1.8
HOGNW16,2018-11-08,Dissolved Oxygen,7.83
HOGNW16,2018-11-08,Dissolved Oxygen Saturation,91.8
HOGNW16,2018-11-08,pH,7.86
HOGNW16,2018-11-08,Specific Conductance,288.4
HOGNW16,2018-11-08,"Temperature, Water",23.3
HOGNW16,2018-11-08,Turbidity,0.96
HOGNW16,2018-11-13,Dissolved Oxygen,7.9
HOGNW16,2018-11-13,Dissolved Oxygen Saturation,92.1
HOGNW16,2018-11-13,pH,7.9
HOGNW16,2018-11-13,Specific Conductance,287.7
HOGNW16,2018-11-13,"Temperature, Water",22.8
HOGNW16,2018-11-13,Turbidity,1.45
HOGNW16,2018-11-29,Dissolved Oxygen,10.16
HOGNW16,2018-11-29,Dissolved Oxygen Saturation,95
HOGNW16,2018-11-29,pH,7.86
HOGNW16,2018-11-29,Specific Conductance,278.8
HOGNW16,2018-11-29,"Temperature, Water",12.3
HOGNW16,2018-11-29,Turbidity,1.75
HOGNW16,2018-12-05,Dissolved Oxygen,9.65
